Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
montaro,Informational,44,210,10,2.19,"AI Overview, Video, People also ask"
madopar lt auflösen,Informational,44,170,14,0.00,"Sitelinks, AI Overview, Image, People also ask, Related searches"
мунджаро цена,Informational,43,320,10,0.81,"People also ask, Related searches"
maribavir,Informational,43,210,14,0.00,"AI Overview, Image, People also ask, Related searches"
anoro ellipta 55/22 anwendung,Informational,43,170,13,0.00,"AI Overview, Video, Video carousel, People also ask, Related searches"
mumio naturalis,Informational,43,90,7,0.57,"Image pack, Video, People also ask, Related searches"
ابره منجارو,Informational,43,90,13,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
mumio,Informational,42,720,13,0.37,"AI Overview, Video, People also ask, Knowledge panel, Related searches"
momenase,Informational,42,480,11,0.67,"AI Overview, Image, Image pack, Video, Related searches"
morosil,Informational,42,480,13,0.51,"Reviews, Video, People also ask, Related searches"
budesonid schmelztablette,Informational,42,90,14,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
budesonid schmelztabletten,Informational,42,90,13,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
mucor mucedo,Informational,42,90,12,0.00,"AI Overview, Image, People also ask, Related searches"
mupirocin nasensalbe rezeptfrei,Informational,42,90,13,1.68,"Image, People also ask, Related searches"
cardular,Informational,42,70,14,0.00,"AI Overview, Image, Image pack, People also ask"
jorveza alternative,Informational,42,70,14,0.42,"AI Overview, Reviews, People also ask, Related searches"
momat,Informational,42,70,13,0.08,"Image, Video, Related searches"
minagof,Informational,41,4400,12,0.00,"AI Overview, Reviews, Video, Video carousel"
mounjaslim spray,Informational,41,720,7,0.75,"Reviews, People also ask, Related searches"
mounja slim spray,Informational,41,590,4,0.74,"People also ask, Related searches"
