Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
vimovo 500mg/20mg,Informational,59,480,22,0.95,"People also ask, Related searches"
trevicta,Informational,59,390,17,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
xgeva 120 mg,Informational,59,260,17,0.72,"AI Overview, Image, Image pack, People also ask, Related searches"
tolvaptan preis,Transactional,59,210,15,0.00,"AI Overview, Image, People also ask, Related searches"
valaciclovir tabletten,Informational,59,210,27,2.69,"Image, Image pack, People also ask, Related searches"
abnehmen mit victoza,Informational,59,170,19,1.45,"Sitelinks, AI Overview, Video, People also ask, Related searches"
tremfya pen,Informational,59,170,16,0.00,"Image pack, People also ask, Related searches"
velmetia 1000 50,"Informational, Transactional",59,170,16,2.06,"Image pack, People also ask, Knowledge panel, Related searches"
velphoro,Informational,59,170,17,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
vimovo tabletten wofür,Informational,59,170,29,0.00,"Sitelinks, AI Overview, Image, People also ask, Related searches"
spiriva respimat wirkstoff,Informational,59,140,19,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
vimovo 500 mg/20 mg wirkstoff,Informational,59,140,22,0.00,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches"
hydroxyzine bluefish,Informational,59,110,17,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
spiriva wirkstoff,Informational,59,110,23,0.00,"AI Overview, Image, Video, People also ask, Related searches"
tremfya morbus crohn,Commercial,59,110,20,11.56,"AI Overview, People also ask, Related searches, Ads bottom, Ads middle"
velmetia 50 1000 preis,Transactional,59,110,17,0.00,"Image, People also ask, Knowledge panel, Related searches"
vimovo 500 mg/20 mg einnahme,Informational,59,110,22,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
samsca 7 5,Informational,59,90,17,0.00,"AI Overview, Image, People also ask, Related searches"
velphoro 500,Informational,59,90,16,0.00,"Sitelinks, Image, Image pack, People also ask, Related searches"
vimovo 500 mg/20 mg für was,Informational,59,90,26,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
vimvy,Informational,59,90,28,0.00,"Video, Video carousel, Related searches"
guselkumab morbus crohn,Informational,59,70,21,0.79,"AI Overview, Image, People also ask, Related searches"
spiriva respimat,Informational,58,3600,19,1.32,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
repatha,Informational,58,2900,24,0.00,"AI Overview, People also ask, Related searches"
viacorind,Informational,58,2900,20,0.55,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
tovedeso,Informational,58,1900,22,0.45,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
verquvo,Informational,58,1300,21,0.86,"AI Overview, Image, Video, People also ask, Related searches"
ciatyl z,Informational,58,880,22,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
vistabel,Informational,58,720,18,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
vyndaqel,Informational,58,720,22,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
zometa infusion,Informational,58,720,19,0.00,"AI Overview, Video, People also ask, Related searches"
zostergalen,Informational,58,480,18,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
pyzchiva,Informational,58,390,17,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
prevymis,Informational,58,320,26,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
velmetia wirkstoff,Informational,58,320,19,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
viani medikament,Informational,58,320,22,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Ads bottom"
viani wirkstoff,Informational,58,320,23,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
