Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
denosumab xgeva,Informational,53,70,13,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
viacoram 3 5 2 5,Informational,52,170,13,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
relenza,Informational,52,110,13,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
vabysmo wirkung,Informational,52,90,14,0.00,"AI Overview, Image, People also ask, Related searches"
bevespi aerosphere erfahrungen,Informational,51,210,14,0.00,"Reviews, People also ask, Related searches"
fampyra gewichtszunahme,Informational,51,110,14,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
viani diskus gewichtszunahme,Informational,51,110,13,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
vancomycin 500 mg oral auflösen,Informational,51,90,14,0.00,"AI Overview, Video, People also ask, Related searches"
beipackzettel zoely,Informational,51,70,14,0.00,"Sitelinks, People also ask, Related searches"
roclanda nebenwirkungen erfahrungen,Informational,51,70,11,0.43,"Sitelinks, AI Overview, People also ask, Related searches"
schaden durch spiriva,Informational,50,210,14,0.00,"AI Overview, People also ask, Related searches"
qutenza pflaster preis,Transactional,50,140,14,0.00,"Image, Image pack, People also ask, Related searches"
vimovo 500 mg/20 mg erfahrungen,Informational,50,140,13,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
bevespi aerosphere nebenwirkungen,Informational,50,90,14,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
enthält trixeo cortison,Informational,50,90,14,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
dociton 10 mg gegen angst,"Informational, Commercial",50,70,13,0.00,"AI Overview, People also ask, Related searches"
farsena,Informational,49,590,13,0.00,"AI Overview, Video, People also ask, Related searches"
lacosamid 200 mg,Informational,49,210,13,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
repatha 140 mg preis,Informational,49,210,14,0.00,"AI Overview, Image, People also ask, Related searches"
quviviq kaufen ohne rezept,Informational,49,140,11,1.08,"AI Overview, People also ask, Related searches"
volon a 40 erfahrungen,Informational,49,140,14,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
quviviq kosten,Informational,49,110,13,0.52,"AI Overview, Image, People also ask, Related searches"
roactemra gewichtszunahme,Informational,49,110,14,0.00,"AI Overview, People also ask, Related searches, Ads middle"
