Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
xarelto 10 mg reiseprophylaxe,Informational,56,110,18,0.00,"AI Overview, Video, People also ask, Related searches"
avanafil kaufen ohne rezept,Informational,56,90,21,2.61,"AI Overview, People also ask, Related searches"
cosentyx spritze,Informational,56,90,16,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
nadx,Informational,56,90,26,0.00,"Reviews, Video"
soliqua,Informational,56,90,17,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
spedra 100,Informational,56,90,26,4.07,"Image pack, People also ask, Related searches"
xarelto 5 mg,Informational,56,90,25,0.00,"AI Overview, Image pack, People also ask, Related searches"
xultophy,Informational,56,90,20,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
forxiga 5,Informational,56,70,19,0.00,"AI Overview, People also ask, Related searches"
spedra 100mg preis,Commercial,56,70,23,1.64,"Featured snippet, Sitelinks, People also ask, Related searches"
spedra kaufen ohne rezept,Informational,56,70,17,3.87,"Sitelinks, AI Overview, People also ask, Related searches, Ads bottom"
sevelamercarbonat,Informational,55,2400,21,0.00,"Image, Video, People also ask"
xenical,Informational,55,2400,27,2.07,"People also ask, Related searches"
tobradex,Informational,55,1300,21,0.72,"AI Overview, People also ask, Related searches"
x systo,Informational,55,1300,23,1.72,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
sildehexal,Informational,55,720,24,3.67,"AI Overview, Image, Image pack, People also ask, Related searches"
fasenra,Informational,55,590,29,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
